TimeID,Volume,Concentration,Interpolate
45,35.2355670375169,226.7481884057971,False
46,35.5941065350956,241.2210338680927,False
47,36.65880485176779,239.92592592592592,False
48,33.94737163067813,243.97064220183486,False
49,34.48986185010001,240.2998171846435,False
50,35.06952339379917,240.0774774774775,False
51,35.46178265252639,226.9,False
52,35.91064503329089,225.72577696526508,False
53,34.71523970706855,222.29690346083788,False
54,34.34494646417522,217.35315985130111,False
55,31.67427436056833,243.58494208494207,False
56,33.75213211923303,242.95167286245353,False
57,33.29987681840265,237.1096654275093,False
58,31.837117768569613,246.36923076923077,False
59,33.468500756886534,238.0297397769517,False
60,34.40672274211541,245.01633393829403,False
61,38.07089210649353,235.45017182130584,False
62,38.38294859916971,235.08460236886634,False
63,39.740594147603844,235.9206081081081,False
64,39.313626573239766,243.24570446735396,False
65,38.15113257165642,247.81314878892732,False
66,37.290750874803095,259.7854609929078,False
67,37.134722628465,251.66607460035524,False
68,38.07089210649353,250.10562180579217,False
69,38.61997548169775,246.27491408934708,False
70,39.34185064163962,241.6772575250836,False
71,40.88259239871517,240.1949579831933,False
72,42.290884609515366,232.9657980456026,False
73,42.63611632061345,232.97253634894992,False
74,42.138596952830156,231.39870340356563,False
75,42.118268753966326,230.15106732348113,False
76,42.118268753966326,237.6820428336079,False
77,41.87525190144545,234.27138157894737,False
78,43.23153190427282,231.52782193958666,False
79,42.80873217616249,227.29505582137162,False
80,41.800134326703,230.16639477977162,False
81,43.01683127353629,240.27796052631578,False
82,43.12830754725627,234.99673735725938,False
83,41.96936563976658,243.99188311688312,False
84,42.38801008799376,246.02597402597402,False
85,42.98134803171154,245.04025764895331,False
86,44.00847708903701,254.5259842519685,False
87,46.73558895186319,254.3394495412844,False
88,43.928814676922386,263.8929133858268,False
89,46.99526043423831,261.6158536585366,False
