TimeID,Volume,Interpolate
27,4.05763080589412,False
28,6.709310934712507,False
29,10.134149581949954,False
30,12.421865729874453,False
31,16.6184973499242,False
32,18.481658666642577,False
33,19.945343439110882,False
34,23.4486632596252,False
35,24.88664980418714,False
36,26.114891056824817,False
37,25.490782260262662,False
38,26.941678656235755,False
39,28.87073383166563,False
40,24.706816663115255,False
41,29.33571467713814,False
42,15.619801800508824,False
43,22.462638800579303,False
44,29.36931715216093,False
45,33.94737163067813,False
46,31.88903782315794,False
47,32.11766618132538,False
48,33.55325673789018,False
