TimeID,Volume,Interpolate
71,1.0555751316061703,False
72,1.371610974976894,False
73,2.379756435094268,False
74,3.455839883543073,False
75,5.107676734429971,False
76,7.230991244397013,False
77,9.372158378216852,False
78,11.257373675363425,False
79,13.894007669766221,False
80,13.688932878920289,False
81,15.739416893596703,False
82,16.274748470558606,False
83,17.741051236904905,False
84,17.891495825900016,False
85,18.095573684677206,False
86,19.925865564658622,False
87,24.00694521811913,False
88,22.046423850670912,False
89,24.501804704122392,False
90,32.272852480832306,False
91,22.817312044798978,False
92,26.703022334318053,False
93,28.90767896127184,False
94,23.443498481302704,False
95,21.034181753733254,False
96,15.147922017569025,False
97,14.592270619323699,False
98,10.012356317955586,False
99,16.473305503845896,False
100,17.409973447908797,False
101,19.127926163388047,False
102,19.23785677352246,False
103,20.03255405117453,False
104,20.695974643808604,False
105,20.66695470526984,False
106,21.469292336255442,False
107,22.34441438583941,False
108,21.700144942021627,False
109,23.517007560606494,False
110,25.032076222516913,False
111,26.577656032279002,False
112,27.96541060470514,False
